Part Name,Material Name
PartOriginIndicator,Material_d4381eb1
"Top_Cover,_HV_Battery__A2992800212_(4MFC9X-Com_00017375)",MS04
"NVH_Foam,_HV_Battery__A2992800185_(4MFC9X-Com_00017397)",S3
"NVH_Foam,_HV_Battery_1__A2992800185_(4MFC9X-Com_00017397)",S3
"NVH_Foam_2,_HV_Battery__A2992800186_(4MFC9X-Com_00030684)",S3
"NVH_Foam_2,_HV_Battery_1__A2992800186_(4MFC9X-Com_00030684)",S3
"Bracket,_Top_Cover_HV_Battery_Guide__A2992800232_(4MFC9X-Com_00017404)",MS04
"Bracket,_Top_Cover_HV_Battery_Guide_1__A2992800232_(4MFC9X-Com_00017404)",MS04
"Bracket,_HV_Battery_Connector__A2991200656_(4MFC9X-Com_00029549)",MS04
Insulation_Pad__A2992800174_(4MFC9X-Com_00029550),S10
Insulation_Pad_1__A2992800174_(4MFC9X-Com_00029550),S10
Insulation_Pad_2__A2992800179_(4MFC9X-Com_00030542),S10
Insulation_Pad_2_1__A2992800179_(4MFC9X-Com_00030542),S10
Insulation_Pad_3__A2992800180_(4MFC9X-Com_00035138),S10
Insulation_Pad_3_1__A2992800180_(4MFC9X-Com_00035138),S10
Insulation_Pad_4__A2992800196_(4MFC9X-Com_00044321),MS04
Insulation_Pad_5__A2992800197_(4MFC9X-Com_00065162),MS05
Insulation_Pad_6__A2992800198_(4MFC9X-Com_00065163),MS05
Insulation_Pad_7__A2992800199_(4MFC9X-Com_00065164),MS05
Insulation_Pad_8__A2992800200_(4MFC9X-Com_00065165),MS05
Insulation_Pad_9__A2992800201_(4MFC9X-Com_00065166),MS05
Insulation_Pad_10__A2992800202_(4MFC9X-Com_00155309),MS05
Insulation_Pad_11__A2992800203_(4MFC9X-Com_00155310),MS05
Insulation_Pad_12__A2992800204_(4MFC9X-Com_00155311),MS04
Insulation_Pad_13__A2992800205_(4MFC9X-Com_00155312),MS05
Breather__A2992800171_(4MFC9X-Com_00029551),S3
Breather_1__A2992800171_(4MFC9X-Com_00029551),S3
